// Melia
// Database file
// 
// This file is mostly for reference, as the client controls which
// abilities appear as learnable, and under which conditions.
// 
// Values: category, jobId, abilityId, [name], maxLevel, [price, time | priceTime], unlock
//---------------------------------------------------------------------------

[
// Warrior
//---------------------------------------------------------------------------
{ category: "Warrior", jobId: 1001, abilityId: 10000, name: "Weapon Swap", maxLevel: 1, price: 100, time: 1, unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 2)' },
{ category: "Warrior", jobId: 1001, abilityId: 10012, name: "Cloth Mastery: Magic", maxLevel: 50, priceTime: 'ABIL_MASTERY_PRICE', unlock: '' },
{ category: "Warrior", jobId: 1001, abilityId: 10013, name: "Leather Mastery: Dexterity", maxLevel: 50, priceTime: 'ABIL_MASTERY_PRICE', unlock: '' },
{ category: "Warrior", jobId: 1001, abilityId: 10014, name: "Plate Mastery: Defense", maxLevel: 50, priceTime: 'ABIL_MASTERY_PRICE', unlock: '' },
{ category: "Warrior", jobId: 1001, abilityId: 10023, name: "Increased Maximum Buff Count", maxLevel: 1, priceTime: 'ABIL_ADDBUFFCOUNT_PRICE', unlock: 'UNLOCK_ABIL_RANK("", 5)' },
{ category: "Warrior", jobId: 1001, abilityId: 101001, name: "Bash: Enhance", maxLevel: 100, priceTime: 'ABIL_1RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 1)' },
{ category: "Warrior", jobId: 1001, abilityId: 101002, name: "Bash: Enhance 2", maxLevel: 3, priceTime: 'ABIL_3RANK_MASTER_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 3)' },
{ category: "Warrior", jobId: 1001, abilityId: 101004, name: "Thrust: Enhance", maxLevel: 100, priceTime: 'ABIL_1RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 1)' },
{ category: "Warrior", jobId: 1001, abilityId: 101007, name: "Gung Ho: Enhance", maxLevel: 50, priceTime: 'ABIL_1RANK_BUFF_PRICE', unlock: 'UNLOCK_ABIL_SKILL("Swordman_GungHo", 3)' },
{ category: "Warrior", jobId: 1001, abilityId: 101008, name: "Concentrate: Enhance", maxLevel: 50, priceTime: 'ABIL_1RANK_BUFF_PRICE', unlock: 'UNLOCK_ABIL_SKILL("Swordman_Concentrate", 3)' },
{ category: "Warrior", jobId: 1001, abilityId: 101010, name: "Pommel Beat: Enhance", maxLevel: 100, priceTime: 'ABIL_2RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 2)' },
{ category: "Warrior", jobId: 1001, abilityId: 101012, name: "Double Slash: Enhance", maxLevel: 100, priceTime: 'ABIL_3RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 3)' },
{ category: "Warrior", jobId: 1001, abilityId: 101013, name: "Bash: Splash", maxLevel: 3, priceTime: 'ABIL_2RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 2)' },
{ category: "Warrior", jobId: 1001, abilityId: 101014, name: "Thrust: Continuous Attack", maxLevel: 5, priceTime: 'ABIL_1RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 1)' },
{ category: "Warrior", jobId: 1001, abilityId: 101015, name: "Bash: Knockdown", maxLevel: 1, priceTime: 'ABIL_1RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_SKILL("Swordman_Bash", 3)' },
{ category: "Warrior", jobId: 1001, abilityId: 101016, name: "Double Slash: Increased Critical Chance", maxLevel: 5, priceTime: 'ABIL_3RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 3)' },
{ category: "Warrior", jobId: 1001, abilityId: 101017, name: "Thrust: Bleeding", maxLevel: 1, priceTime: 'ABIL_2RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 2)' },
{ category: "Warrior", jobId: 1001, abilityId: 101018, name: "Restrain: Slow", maxLevel: 4, priceTime: 'ABIL_2RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 2)' },
{ category: "Warrior", jobId: 1001, abilityId: 101020, name: "Provoke", maxLevel: 10, priceTime: 'ABIL_PROVOKE_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_1", 1)' },

// Highlander
//---------------------------------------------------------------------------
{ category: "Highlander", jobId: 1002, abilityId: 10000, name: "Weapon Swap", maxLevel: 1, price: 1, time: 1, unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 10002, name: "Use Two-handed Swords", maxLevel: 1, price: 0, time: 1, unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 103001, name: "Cartar Stroke: Enhance", maxLevel: 100, priceTime: 'ABIL_2RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 103004, name: "Crown: Enhance", maxLevel: 100, priceTime: 'ABIL_2RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 103007, name: "Wagon Wheel: Enhance", maxLevel: 100, priceTime: 'ABIL_2RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 103010, name: "Cross Guard: Enhance", maxLevel: 50, priceTime: 'ABIL_2RANK_BUFF_PRICE', unlock: 'UNLOCK_ABIL_SKILL("Highlander_CrossGuard", 3)' },
{ category: "Highlander", jobId: 1002, abilityId: 103011, name: "Moulinet: Enhance", maxLevel: 100, priceTime: 'ABIL_3RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 2)' },
{ category: "Highlander", jobId: 1002, abilityId: 103013, name: "Skull Swing: Enhance", maxLevel: 100, priceTime: 'ABIL_4RANK_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 3)' },
{ category: "Highlander", jobId: 1002, abilityId: 103014, name: "Cartar Stroke: Knockback Distance", maxLevel: 3, priceTime: 'ABIL_2RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 103015, name: "Crown: Reduce", maxLevel: 5, priceTime: 'ABIL_2RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 103016, name: "Wagon Wheel: Splash", maxLevel: 3, priceTime: 'ABIL_3RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 2)' },
{ category: "Highlander", jobId: 1002, abilityId: 103017, name: "Two-handed Sword Mastery", maxLevel: 5, priceTime: 'ABIL_MASTERY_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
{ category: "Highlander", jobId: 1002, abilityId: 103018, name: "Moulinet: Critical Rate", maxLevel: 5, priceTime: 'ABIL_3RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 2)' },
{ category: "Highlander", jobId: 1002, abilityId: 103019, name: "Cross Guard: Extend Stagger", maxLevel: 3, priceTime: 'ABIL_2RANK_NORMAL_PRICE', unlock: 'UNLOCK_ABIL_CIRCLE("Char1_2", 1)' },
