// Melia
// Database file
// 
// Values: id, className, category, name
//---------------------------------------------------------------------------

[
{ id: 1001, className: "RankTest1", category: "Ranking Test", name: "Test Ranking" },
{ id: 1002, className: "TopDamage", category: "Damage", name: "Best Damage" },
{ id: 2001, className: "PlayCBT1", category: "Event", name: "Savior's Beginning" },
{ id: 2003, className: "PlayCBT3_RANK6_1", category: "Event", name: "Ausrine's Incarnation" },
{ id: 2004, className: "PlayCBT3_RANK6_10", category: "Event", name: "Ausrine's Hero" },
{ id: 2005, className: "IamDeveloper", category: "Event", name: "Developer" },
{ id: 2006, className: "AlphabetEvent1ConQuer", category: "Event", name: "1st Alphabet Event Conqueror" },
{ id: 2007, className: "Translator1", category: "Event", name: "Grand Translator" },
{ id: 2008, className: "100daysEventAchieve", category: "Event", name: "Storyteller" },
{ id: 2009, className: "IamGoldhand01", category: "Event", name: "Outstanding Golden Hands" },
{ id: 2010, className: "Geographer_Ev", category: "Event", name: "Shady Geologist" },
{ id: 2011, className: "Rank8Achieve", category: "Event", name: "Pioneering Savior" },
{ id: 2012, className: "TeamBattle_Swordman", category: "Event", name: "Undefeated Blade" },
{ id: 2013, className: "TeamBattle_Wizard", category: "Event", name: "Knowing One" },
{ id: 2014, className: "TeamBattle_Archer", category: "Event", name: "Heaven Piercer" },
{ id: 2015, className: "TeamBattle_Cleric", category: "Event", name: "Lifemaker" },
{ id: 2016, className: "CreativeSoul_Ev", category: "Event", name: "Creative Soul" },
{ id: 2017, className: "TheLuckyNumber", category: "Event", name: "Happy-Go-Lucky" },
{ id: 2018, className: "HauntedArtist", category: "Event", name: "Haunted Artist" },
{ id: 2019, className: "EV161229_DICE", category: "Event", name: "Follower of Zemyna" },
{ id: 2020, className: "TheGiftedArtist", category: "Event", name: "The Gifted Artist" },
{ id: 2021, className: "EV_Luck1", category: "Event", name: "Small Blessing" },
{ id: 2022, className: "EV_Luck2", category: "Event", name: "Middle Blessing" },
{ id: 2023, className: "EV_Luck3", category: "Event", name: "Golden Luck" },
{ id: 2024, className: "EV_Luck4", category: "Event", name: "Eternal Fortune" },
{ id: 2025, className: "Valentine2017_1", category: "Event", name: "Life is Sweet" },
{ id: 2026, className: "Valentine2017_2", category: "Event", name: "Not on a Diet" },
{ id: 2027, className: "Valentine2017_3", category: "Event", name: "Chocolate Meister" },
{ id: 2028, className: "Valentine2017_4", category: "Event", name: "Sugar Rush" },
{ id: 2029, className: "Valentine2017_5", category: "Event", name: "Chocoholic!" },
{ id: 2030, className: "Passionate_Artist_Ev", category: "Event", name: "{img Collar_Brush 20 20}Passionate Artist" },
{ id: 2031, className: "OST_EV", category: "Event", name: "TOS Music Master" },
{ id: 2032, className: "EV170427_DayCheck", category: "Event", name: "Knowledgeable Savior" },
{ id: 2033, className: "Event_1704_LvUp_Achieve1", category: "Event", name: "Receiver of the Revelations" },
{ id: 2034, className: "Event_1704_LvUp_Achieve2", category: "Event", name: "Awakened Savior" },
{ id: 2035, className: "Event_1704_LvUp_Achieve3", category: "Event", name: "Baby Steps Savior" },
{ id: 2036, className: "Event_1704_LvUp_Achieve4", category: "Event", name: "Toddling Savior" },
{ id: 2037, className: "Event_1704_LvUp_Achieve5", category: "Event", name: "Growing Savior" },
{ id: 2038, className: "Event_1704_LvUp_Achieve6", category: "Event", name: "Storm and Stress Savior" },
{ id: 2039, className: "Event_1704_LvUp_Achieve7", category: "Event", name: "Mature Savior" },
{ id: 2040, className: "Event_1704_LvUp_Achieve8", category: "Event", name: "Testified Savior" },
{ id: 2041, className: "Event_1704_ArborDay1", category: "Event", name: "Proud Savior" },
{ id: 2042, className: "Event_1705_Corsair", category: "Event", name: "Honorary Pirate" },
{ id: 2043, className: "Event_1705_Schwarzereiter", category: "Event", name: "Honorary Golden Note" },
{ id: 2044, className: "Event_1706_Monk", category: "Event", name: "True Believer" },
{ id: 2045, className: "Event_1705_Lab", category: "Event", name: "N/A" },
{ id: 2046, className: "FinestMoment", category: "Event", name: "{img Collar_FinestMoment 30 30}Finest Moment" },
{ id: 2047, className: "Event_1706_Doppelsoeldner", category: "Event", name: "Honorary Pledge of the Blade" },
{ id: 2048, className: "EVENT_1707_COMPASS", category: "Event", name: "Aspiring Pledge of the Blade" },
{ id: 2049, className: "EVENT_1707_USERWEDDING", category: "Event", name: "Just Married" },
{ id: 2050, className: "Event_170823_Fanart_Steam", category: "Event", name: "{img Collar_GivingShade 30 30}Giving Shade" },
{ id: 2051, className: "EVENT_GOLDEN_WHALE_ACHIEVE", category: "Event", name: "Stone Spirit" },
{ id: 2052, className: "EVENT_1709_NEWFIELD_ACHIEVE", category: "Event", name: "The Invited One" },
{ id: 2054, className: "Event_MonsterInker_Steam", category: "Event", name: "{img Collar_MonsterInker 30 30}Monster Inker" },
{ id: 2055, className: "Event_1710_Lab_2_1", category: "Event", name: "[TOS 2nd Researcher]" },
{ id: 2056, className: "Event_1710_Lab_2_2", category: "Event", name: "[TOS Popular Researcher]" },
{ id: 2057, className: "2017_Halloween1", category: "Event", name: "{img Collar_achieve_Halloween1 24 24}Certified Trick-or-Treater" },
{ id: 2058, className: "2017_Halloween2", category: "Event", name: "Dungeon Creeper" },
{ id: 2059, className: "2017_Halloween3", category: "Event", name: "Happy Halloween" },
{ id: 2060, className: "Companions_forLife", category: "Event", name: "{img Collar_Companions_forLife 30 30}Companions for Life" },
{ id: 2061, className: "TheGiftedArtist2", category: "Event", name: "{img Collar_The_Gifted_Artist 30 30}The Gifted Artist" },
{ id: 2062, className: "EVENT_1712_ACHIEVE", category: "Event", name: "TOS 4EVER" },
{ id: 2063, className: "2018Happy_New_Year_Steam", category: "Event", name: "2018 Happy New Year" },
{ id: 2064, className: "NewClassArtist_Steam", category: "Event", name: "{img Collar_New_Class_Artist 30 30}New Class Artist" },
