// Melia
// Database file
//---------------------------------------------------------------------------

[
{ id: 1, baseId: 5001, name: "Premium_Consume", category: "Premium/Consumable" },
{ id: 2, baseId: 10001, name: "Premium_Special", category: "Premium/Enhancement Materials" },
{ id: 3, baseId: 15001, name: "Premium_Costume", category: "Premium/Costume" },
{ id: 4, baseId: 20001, name: "Premium_Wing", category: "Premium/Back Costume" },
{ id: 5, baseId: 25001, name: "Premium_EffectCostume", category: "Premium/Effect Costumes" },
{ id: 6, baseId: 30001, name: "Look_Wig", category: "Premium/Wigs" },
{ id: 7, baseId: 35001, name: "Premium_Helmet", category: "Premium/Helmet" },
{ id: 8, baseId: 40001, name: "Look_Lens", category: "Premium/Contact Lenses" },
{ id: 9, baseId: 45001, name: "Weapon_Bow", category: "Equipment/Main Weapons" },
{ id: 10, baseId: 50001, name: "Weapon_Mace", category: "Equipment/Main Weapons" },
{ id: 11, baseId: 55001, name: "Weapon_Musket", category: "Equipment/Main Weapons" },
{ id: 12, baseId: 60001, name: "Weapon_Rapier", category: "Equipment/Main Weapons" },
{ id: 13, baseId: 65001, name: "Weapon_Spear", category: "Equipment/Main Weapons" },
{ id: 14, baseId: 70001, name: "Weapon_Staff", category: "Equipment/Main Weapons" },
{ id: 15, baseId: 75001, name: "Weapon_Sword", category: "Equipment/Main Weapons" },
{ id: 16, baseId: 80001, name: "Weapon_THBow", category: "Equipment/Main Weapons" },
{ id: 17, baseId: 85001, name: "Weapon_THMace", category: "Equipment/Main Weapons" },
{ id: 18, baseId: 90001, name: "Weapon_THSpear", category: "Equipment/Main Weapons" },
{ id: 19, baseId: 95001, name: "Weapon_THStaff", category: "Equipment/Main Weapons" },
{ id: 20, baseId: 100001, name: "Weapon_THSword", category: "Equipment/Main Weapons" },
{ id: 21, baseId: 105001, name: "Weapon_Cannon", category: "Equipment/Main Weapons" },
{ id: 22, baseId: 110001, name: "Weapon_Dagger", category: "Equipment/Subweapons" },
{ id: 23, baseId: 115001, name: "Weapon_Pistol", category: "Equipment/Subweapons" },
{ id: 24, baseId: 120001, name: "Armor_Boots", category: "Equipment/Armor" },
{ id: 25, baseId: 125001, name: "Armor_Gloves", category: "Equipment/Armor" },
{ id: 26, baseId: 130001, name: "Armor_Pants", category: "Equipment/Armor" },
{ id: 27, baseId: 135001, name: "Armor_Shield", category: "Equipment/Armor" },
{ id: 28, baseId: 140001, name: "Armor_Shirt", category: "Equipment/Armor" },
