// Melia
// Database file
//---------------------------------------------------------------------------

[
// Catacombs Raid
//---------------------------------------------------------------------------
{ map: "id_catacomb_03", x: -858, y: 74, z: 736 },

// Ashaq Underground Prison
//---------------------------------------------------------------------------
{ map: "d_prison_62_1_event", x: -18, y: 148, z: 334 },

// Fedimian
//---------------------------------------------------------------------------
{ map: "c_fedimian", x: 705, y: 160, z: -128 },

// Klaipeda
//---------------------------------------------------------------------------
{ map: "c_Klaipe", x: -137, y: 6, z: -1028 },

// Highlander Master's Training Hall
//---------------------------------------------------------------------------
{ map: "c_highlander", x: 4, y: 45, z: 173 },

// Bokor Master's Home
//---------------------------------------------------------------------------
{ map: "c_voodoo", x: 24, y: 0, z: -80 },

// Pyromancer Master's Lab
//---------------------------------------------------------------------------
{ map: "c_firemage", x: 195, y: 3, z: 5 },

// Fedimian Public House
//---------------------------------------------------------------------------
{ map: "c_request_1", x: 122, y: 0, z: -127 },

// West Siauliai Woods
//---------------------------------------------------------------------------
{ map: "f_siauliai_west", x: -599, y: 260, z: -1377 },
{ map: "f_siauliai_west", x: -1181, y: 260, z: -570 },
{ map: "f_siauliai_west", x: -1625, y: 260, z: -267 },
{ map: "f_siauliai_west", x: -661, y: 322, z: 561 },
{ map: "f_siauliai_west", x: -264, y: 322, z: 376 },
{ map: "f_siauliai_west", x: 311, y: 209, z: -422 },
{ map: "f_siauliai_west", x: 625, y: 285, z: -76 },
{ map: "f_siauliai_west", x: 927, y: 209, z: -844 },

// East Siauliai Woods
//---------------------------------------------------------------------------
{ map: "f_siauliai_2", x: -2414, y: 244, z: -1150 },

// Miners' Village
//---------------------------------------------------------------------------
{ map: "f_siauliai_out", x: 548, y: 38, z: -1708 },

// Entrance of Kateen Forest
//---------------------------------------------------------------------------
{ map: "f_katyn_7", x: 681, y: 300, z: -4379 },

// Owl Burial Ground
//---------------------------------------------------------------------------
{ map: "f_katyn_7_2", x: 291, y: 296, z: -4322 },

// Crystal Mine Lot 2 - 1F
//---------------------------------------------------------------------------
{ map: "d_cmine_8", x: -157, y: 247, z: 26 },

