// Melia
// Database file
// level_per_grade
// Values: SkillTreeId, SkillId, JobId, UnlockGrade, LevelPerGrade, MaxLevel
// 
//---------------------------------------------------------------------------
[
{SkillTreeId:10101, SkillId:10001, JobId:1001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10102, SkillId:10002, JobId:1001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10103, SkillId:10003, JobId:1001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10104, SkillId:10004, JobId:1001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10105, SkillId:10005, JobId:1001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10106, SkillId:10006, JobId:1001, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10107, SkillId:10007, JobId:1001, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10108, SkillId:10008, JobId:1001, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10201, SkillId:10201, JobId:1002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10202, SkillId:10202, JobId:1002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10203, SkillId:10203, JobId:1002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10204, SkillId:10204, JobId:1002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10205, SkillId:10205, JobId:1002, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10206, SkillId:10206, JobId:1002, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10301, SkillId:10101, JobId:1003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10302, SkillId:10102, JobId:1003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10303, SkillId:10103, JobId:1003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10304, SkillId:10104, JobId:1003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10305, SkillId:10105, JobId:1003, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10306, SkillId:10106, JobId:1003, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10307, SkillId:10107, JobId:1003, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10401, SkillId:10301, JobId:1004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10402, SkillId:10302, JobId:1004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10403, SkillId:10303, JobId:1004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10404, SkillId:10304, JobId:1004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10405, SkillId:10305, JobId:1004, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10406, SkillId:10306, JobId:1004, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10501, SkillId:10901, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10502, SkillId:10902, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10503, SkillId:10903, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10504, SkillId:10904, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10505, SkillId:10905, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10506, SkillId:10906, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:1},  
{SkillTreeId:10507, SkillId:10907, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10508, SkillId:10908, JobId:1005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:1},  
{SkillTreeId:10601, SkillId:10401, JobId:1006, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10602, SkillId:10404, JobId:1006, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10603, SkillId:10402, JobId:1006, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10604, SkillId:10403, JobId:1006, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10605, SkillId:10405, JobId:1006, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10606, SkillId:10406, JobId:1006, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10607, SkillId:10407, JobId:1006, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10608, SkillId:10408, JobId:1006, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10701, SkillId:10601, JobId:1007, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10702, SkillId:10602, JobId:1007, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10703, SkillId:10603, JobId:1007, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10704, SkillId:10604, JobId:1007, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10705, SkillId:10605, JobId:1007, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10706, SkillId:10606, JobId:1007, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:10801, SkillId:10801, JobId:1008, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10802, SkillId:10802, JobId:1008, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10803, SkillId:10803, JobId:1008, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10804, SkillId:10804, JobId:1008, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10805, SkillId:10805, JobId:1008, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10806, SkillId:10806, JobId:1008, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:10901, SkillId:11004, JobId:1009, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10902, SkillId:11001, JobId:1009, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10903, SkillId:11002, JobId:1009, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10904, SkillId:11003, JobId:1009, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:10905, SkillId:11005, JobId:1009, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11001, SkillId:10501, JobId:1010, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11002, SkillId:10502, JobId:1010, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11003, SkillId:10503, JobId:1010, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11004, SkillId:10504, JobId:1010, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11005, SkillId:10507, JobId:1010, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11006, SkillId:10508, JobId:1010, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:11007, SkillId:10505, JobId:1010, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:11008, SkillId:10506, JobId:1010, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:11101, SkillId:10704, JobId:1011, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11102, SkillId:10703, JobId:1011, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11103, SkillId:10701, JobId:1011, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11104, SkillId:10702, JobId:1011, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11105, SkillId:10705, JobId:1011, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:11106, SkillId:10706, JobId:1011, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:11201, SkillId:11201, JobId:1012, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11202, SkillId:11202, JobId:1012, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:11301, SkillId:11101, JobId:1013, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20101, SkillId:20001, JobId:2001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20102, SkillId:20002, JobId:2001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20103, SkillId:20003, JobId:2001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20104, SkillId:20004, JobId:2001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20105, SkillId:20005, JobId:2001, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20106, SkillId:20006, JobId:2001, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:20107, SkillId:20007, JobId:2001, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20108, SkillId:20008, JobId:2001, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20201, SkillId:20101, JobId:2002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20202, SkillId:20102, JobId:2002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20203, SkillId:20103, JobId:2002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20204, SkillId:20104, JobId:2002, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20205, SkillId:20105, JobId:2002, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:20206, SkillId:20106, JobId:2002, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20301, SkillId:20201, JobId:2003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20302, SkillId:20202, JobId:2003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20303, SkillId:20203, JobId:2003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20304, SkillId:20204, JobId:2003, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20305, SkillId:20205, JobId:2003, UnlockGrade:2, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20306, SkillId:20206, JobId:2003, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:20307, SkillId:20207, JobId:2003, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20308, SkillId:20208, JobId:2003, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20401, SkillId:20301, JobId:2004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20402, SkillId:20302, JobId:2004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20403, SkillId:20303, JobId:2004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20404, SkillId:20304, JobId:2004, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20405, SkillId:20305, JobId:2004, UnlockGrade:2, LevelPerGrade:5, MaxLevel:10},  
{SkillTreeId:20406, SkillId:20306, JobId:2004, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20407, SkillId:20307, JobId:2004, UnlockGrade:3, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20501, SkillId:21001, JobId:2005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20502, SkillId:21002, JobId:2005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20503, SkillId:21003, JobId:2005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20504, SkillId:21004, JobId:2005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20505, SkillId:21005, JobId:2005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20506, SkillId:21006, JobId:2005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20507, SkillId:21007, JobId:2005, UnlockGrade:1, LevelPerGrade:5, MaxLevel:5},  
{SkillTreeId:20601, SkillId:20701, JobId:2006, UnlockGrade:1, LevelPerGrade:5, MaxLevel:15},  
{SkillTreeId:20602, SkillId:20702, JobId:2006, UnlockGrade:1, LevelPerGrade:5, MaxLevel:1},  
{SkillTreeId:20603, SkillId:20703, JobId:2006, UnlockGrade:1, LevelPerGrade:5, MaxLevel:1},  
